url,domain_name,ip,dport,country,having_ip_address,hostname_length,count_dir,count-www,fd_length,url_length,abnormal_url,count-http,count-letters,tld-length,count.,count-digits,count-,count=,count-https,sus_url,count?,count%,short_url,count@,count_embed_domain,malicous
http://123.172.68.145:56076/.i,123.172.68.145,123.172.68.145,56076,CN,True,14,1,0,2,30,1,1,5,-1,4,16,0,0,0,0,0,0,0,0,0,True
http://123.185.46.10:47531/Mozi.m,123.185.46.10,123.185.46.10,47531,CN,True,13,1,0,6,33,1,1,9,-1,4,15,0,0,0,0,0,0,0,0,0,True
http://117.194.159.139:55279/Mozi.m,117.194.159.139,117.194.159.139,55279,IN,True,15,1,0,6,35,1,1,9,-1,4,17,0,0,0,0,0,0,0,0,0,True
http://116.232.48.226:46337/Mozi.m,116.232.48.226,116.232.48.226,46337,CN,True,14,1,0,6,34,1,1,9,-1,4,16,0,0,0,0,0,0,0,0,0,True
http://106.56.147.237:58690/Mozi.a,106.56.147.237,106.56.147.237,58690,CN,True,14,1,0,6,34,1,1,9,-1,4,16,0,0,0,0,0,0,0,0,0,True
http://39.90.148.161:38381/i,39.90.148.161,39.90.148.161,38381,CN,True,13,1,0,1,28,1,1,5,-1,3,15,0,0,0,0,0,0,0,0,0,True
http://117.193.117.207:44864/i,117.193.117.207,117.193.117.207,44864,IN,True,15,1,0,1,30,1,1,5,-1,3,17,0,0,0,0,0,0,0,0,0,True
http://123.172.238.89:49514/i,123.172.238.89,123.172.238.89,49514,CN,True,14,1,0,1,29,1,1,5,-1,3,16,0,0,0,0,0,0,0,0,0,True
http://36.26.98.131:53282/Mozi.m,36.26.98.131,36.26.98.131,53282,CN,True,12,1,0,6,32,1,1,9,-1,4,14,0,0,0,0,0,0,0,0,0,True
http://42.228.64.241:59812/Mozi.m,42.228.64.241,42.228.64.241,59812,CN,True,13,1,0,6,33,1,1,9,-1,4,15,0,0,0,0,0,0,0,0,0,True
http://110.180.163.80:55113/Mozi.m,110.180.163.80,110.180.163.80,55113,CN,True,14,1,0,6,34,1,1,9,-1,4,16,0,0,0,0,0,0,0,0,0,True
http://113.116.218.31:58221/Mozi.m,113.116.218.31,113.116.218.31,58221,CN,True,14,1,0,6,34,1,1,9,-1,4,16,0,0,0,0,0,0,0,0,0,True
http://117.214.211.58:39748/Mozi.m,117.214.211.58,117.214.211.58,39748,IN,True,14,1,0,6,34,1,1,9,-1,4,16,0,0,0,0,0,0,0,0,0,True
http://125.46.223.82:48984/Mozi.m,125.46.223.82,125.46.223.82,48984,CN,True,13,1,0,6,33,1,1,9,-1,4,15,0,0,0,0,0,0,0,0,0,True
